Text,Start Location,End Location,Is Quote,Speaker,Context,Entity Name
"Mags,",59983,59997,True,229:Bubbles.?,"it up to the moon as it swept down on the dark horizon. When the light of the moon touched the stone it grew luminous. At that very same moment, the harp could be heard as the guild began their evening practice. No one else noticed, of course, but for one fraction of a second the stone blade shimmered in a swirl of flickering light and sound. Eglantine began to shake uncontrollably.“The Place! The Place!” Eglantine screamed. Something started in a dim way to make sense to Soren. He put a talon on his sister’s shoulder and spun her around to face him.“Eglantine,” he said softly. His sister blinked.“Soren? Oh, Soren!” she cried as he swept her under his wings.“I ain’t done nothing, Mags, I swear. Nothing.” Bubbles was crying and sputtering in near hysterics.“I just held up this here piece of glass we got from that castle over in Am- bala and she done gone yoicks.”“Take me to the music, Soren. Take me to the music. Take us all to the music,” Eglantine cried. CHAPTER TWENTY- FIVE In the Folds of the Night Soren perched on a slender branch next to Eglantine. He draped one wing over her shoulders. It seemed like a miracle. His sister was back— really back. And now she said they must listen to the harp music. If she had told him to hang upside down and be mobbed by crows, he would have. He had never been happier in his life. The other owlets that had been",Bubbles
Easy flying.”,16171,16189,True,565:the male puffin.M,"they supposed to be going instead? Soren kept forgetting. All he could remember were the rolls of warm wind to play on, the still, glasslike lake, the everlasting summer. No ice, no blizzard. Why not live there happily ever after? The dream tugged on him. In his sleep, he felt his gizzard turn and something begin to dim, while the longing for The Beaks and the Mirror Lakes grew stronger and stronger.“Time to get up, young’uns.” It was the male puffin, nudging Soren with one of his large, orange, webbed feet.“Wind died down. You can fly out of here now. The wall’s weeping.”“Huh?” Soren asked.“What do you mean the wall’s weeping?”“The ice is melting. Means warm air, the thermals have come. Easy flying.” The other owls were already up and standing at the rim of the hollow. The wall certainly was weeping. Glistening with wetness, it appeared shimmering, almost fiery as the setting sun turned its ice into liquid flames of pink, then orange and red.“Dumpy,” his father called.“Come over here, son. I want you to step up here and watch the young’uns fly. They are the masters of silent flight. Never going to hear a wing flap with these owls!” Just before they took off, Soren looked at each of the owls. He wasn’t the only one who had dreamed of the Mirror Lakes. They all wanted to go back. Could it be that wrong if they all wanted to do it? Twilight slid in close to",the male puffin
“What about him?”,146334,146339,True,363:Parvati.F,"you paying attention over there?” Professor Grubbly- Plank’s voice carried over to the boys; the girls were all clustered around the unicorn now, stroking it. Harry was so angry that the Daily Prophet article shook in his hands as he turned to stare unseeingly at the unicorn, whose many magical properties Professor Grubbly- Plank was now enumerating in a loud voice, so that the boys could hear too.“I hope she stays, that woman!” said Parvati Patil when the lesson had ended and they were all heading back to the castle for lunch.“That’s more what I thought Care of Magical Creatures would be like… proper creatures like unicorns, not monsters.…”“What about Hagrid?” Harry said angrily as they went up the steps.“What about him?” said Parvati in a hard voice.“He can still be gamekeeper, can’t he?” Parvati had been very cool toward Harry since the ball. He supposed that he ought to have paid her a bit more attention, but she seemed to have had a good time all the same. She was certainly telling anybody who would listen that she had made arrangements to meet the boy from Beauxbatons in Hogsmeade on the next weekend trip.“That was a really good lesson,” said Hermione as they entered the Great Hall.“I didn’t know half the things Professor Grubbly- Plank told us about uni—”“Look at this!” Harry snarled, and he shoved the Daily Prophet article under Hermione’s nose. Hermione’s mouth fell open as she read.",Parvati
Nest decimation.”,19827,19856,True,653:Another Short - eared Owl.F,"the tree, meeting hollows for large and smaller congregations of owls seemed to be below, along with a hollow that was called a kitchen, from which very good smells issued. There were places along the way where small groups of owls gathered to socialize. These seemed to be near the points where some of the larger branches of the tree joined the trunk. There were good- sized openings at these points so that owls could either sit inside on specially constructed perches or outside on the branches themselves.“Now, I want you young’uns to stay out of the way. We’ve got some wounded owls coming in and I have to arrange for their care.” They were flying up through the branches, following the Short- eared Owl to the hollow that would be theirs.“Matron, we’re going to need moss and down. Search- and- rescue’s coming in with two more little ones. Nest decimation.” Another Short- eared Owl flew by with a wad of something fluffy in her talons.“Oh, no! Poor little things.”“Nest decimation. What’s that?” Soren asked.“Accidental destruction of nests.” A young Spotted Owl flew up as they landed on a branch midway up the tree.“Otulissa, thank goodness. Can you show these new arrivals to that hollow we cleaned out yesterday?”“Certainly, Matron.”“And see if Cook has any tea or cakes left over. They look half starved.”“Certainly.” The Spotted Owl named Otulissa showed them to their hollow.“What is going on here?” Twilight asked her.“Oh, there’ve been some skirmishes up in the borderlands, nothing",Another Short - eared Owl
"“I hope she stays,",146263,146272,True,363:Parvati.F,"” said Malfoy, his eyes glinting.“Half- giant… and there was me thinking he’d just swallowed a bottle of Skele- Gro when he was young.… None of the mummies and daddies are going to like this at all.… They’ll be worried he’ll eat their kids, ha, ha.…”“You—”“Are you paying attention over there?” Professor Grubbly- Plank’s voice carried over to the boys; the girls were all clustered around the unicorn now, stroking it. Harry was so angry that the Daily Prophet article shook in his hands as he turned to stare unseeingly at the unicorn, whose many magical properties Professor Grubbly- Plank was now enumerating in a loud voice, so that the boys could hear too.“I hope she stays, that woman!” said Parvati Patil when the lesson had ended and they were all heading back to the castle for lunch.“That’s more what I thought Care of Magical Creatures would be like… proper creatures like unicorns, not monsters.…”“What about Hagrid?” Harry said angrily as they went up the steps.“What about him?” said Parvati in a hard voice.“He can still be gamekeeper, can’t he?” Parvati had been very cool toward Harry since the ball. He supposed that he ought to have paid her a bit more attention, but she seemed to have had a good time all the same. She was certainly telling anybody who would listen that she had made arrangements to meet the boy from Beauxbatons in Hogsmeade on the next weekend trip",Parvati
"“Mr. Crouch,",45361,45378,True,239:Amos Diggory.?,"anger in every syllable,“that I routinely teach my servants to conjure the Dark Mark?” There was a deeply unpleasant silence. Amos Diggory looked horrified.“Mr. Crouch… not… not at all…”“You have now come very close to accusing the two people in this clearing who are least likely to conjure that Mark!” barked Mr. Crouch.“Harry Potter— and myself! I suppose you are familiar with the boy’s story, Amos?”“Of course— everyone knows—” muttered Mr. Diggory, looking highly discomforted.“And I trust you remember the many proofs I have given, over a long career, that I despise and detest the Dark Arts and those who practice them?” Mr. Crouch shouted, his eyes bulging again.“Mr. Crouch, I— I never suggested you had anything to do with it!” Amos Diggory muttered again, now reddening behind his scrubby brown beard.“If you accuse my elf, you accuse me, Diggory!” shouted Mr. Crouch.“Where else would she have learned to conjure it?”“She— she might’ve picked it up anywhere—”“Precisely, Amos,” said Mr. Weasley.“She might have picked it up anywhere.… Winky?” he said kindly, turning to the elf, but she flinched as though he too was shouting at her.“Where exactly did you find Harry’s wand?” Winky was twisting the hem of her tea towel so violently that it was fraying beneath her fingers.“I— I is finding it… finding it there, sir.…” she whispered,“there",Amos Diggory
“The what?”,64167,64171,True,263:Seamus.M,"of sweets and cakes from home. Trying to ignore the sinking feeling of disappointment in his stomach, Harry returned to his porridge. Was it possible that something had happened to Hedwig, and that Sirius hadn’t even got his letter? His preoccupation lasted all the way across the sodden vegetable patch until they arrived in greenhouse three, but here he was distracted by Professor Sprout showing the class the ugliest plants Harry had ever seen. Indeed, they looked less like plants than thick, black, giant slugs, protruding vertically out of the soil. Each was squirming slightly and had a number of large, shiny swellings upon it, which appeared to be full of liquid.“Bubotubers,” Professor Sprout told them briskly.“They need squeezing. You will collect the pus—”“The what?” said Seamus Finnigan, sounding revolted.“Pus, Finnigan, pus,” said Professor Sprout,“and it’s extremely valuable, so don’t waste it. You will collect the pus, I say, in these bottles. Wear your dragon- hide gloves; it can do funny things to the skin when undiluted, bubotuber pus.” Squeezing the bubotubers was disgusting, but oddly satisfying. As each swelling was popped, a large amount of thick yellowish- green liquid burst forth, which smelled strongly of petrol. They caught it in the bottles as Professor Sprout had indicated, and by the end of the lesson had collected several pints.“This’ll keep Madam Pomfrey happy,” said Professor Sprout, stoppering the last bottle with a cork.“An excellent remedy",Seamus
“Master can not— hic— manage— hic— all by himself.…”,179039,179055,True,1327:the elf.F,", and bending down,“you don’t know what Mr. Crouch might be up to, do you? Because he’s stopped turning up to judge the Triwizard Tournament.” Winky’s eyes flickered. Her enormous pupils focused on Harry. She swayed slightly again and then said,“M— Master is stopped— hic— coming?”“Yeah,” said Harry,“we haven’t seen him since the first task. The Daily Prophet’s saying he’s ill.” Winky swayed some more, staring blurrily at Harry.“Master— hic— ill?” Her bottom lip began to tremble.“But we’re not sure if that’s true,” said Hermione quickly.“Master is needing his— hic— Winky!” whimpered the elf.“Master can not— hic— manage— hic— all by himself.…”“Other people manage to do their own housework, you know, Winky,” Hermione said severely.“Winky— hic— is not only— hic— doing housework for Mr. Crouch!” Winky squeaked indignantly, swaying worse than ever and slopping butterbeer down her already heavily stained blouse.“Master is— hic— trusting Winky with— hic— the most important— hic— the most secret—”“What?” said Harry. But Winky shook her head very hard, spilling more butterbeer down herself.“Winky keeps— hic— her master’s secrets,” she said mutinously, swaying very heavily now, frowning up at Harry with her eyes crossed.“You is— hic— nosing, you is.”“Winky must not talk like that to",the elf
"“I can’t wait to go back,”",52106,52115,True,209:Martin.?,"be sent back to the ridge? You’ll have your chance.” But Soren was not paying any attention to them. He must keep his focus on Martin, who was now just a little smudge on the ground. A cloud of smoke temporarily obscured him and Soren flew lower. There he was! There he was! Good heavens, he was coming up fast!“He’s coming in loaded!” Bubo slid in next to Elvan. And then he was there. Cinders poured from his small beak. His face was sooty and smudged but his eyes danced with a light as bright as the fire.“I did it! I did it!”“You certainly did, young’un.” Bubo flew up and tousled Martin’s head feathers with his talon.“I can’t wait to go back,” Martin shouted.“Hold on there,” Elvan said.“First, your report.”“Embers about the size of pellets uphill from where I landed.”“Excellent,” Elvan said. Elvan then flew off to confer with Bubo and Ezylryb.“Soren, there is nothing like it. I can’t tell you. As soon as I got there I just wasn’t frightened at all. And I can’t describe what it’s like to grab the cinders in your beak. It’s…”“Intoxicating,” Otulissa broke in.“Yes, I read about it. You must be careful, though. Strix Emerilla wrote that some colliers get so drunk on the cinders that they do not heed weather warnings.”“Well, it’s",Martin
Harry!”,121140,121161,True,263:Seamus.M,", so only Hermione could hear him, and she grinned rather guiltily.“Yeah, go on, Harry, open it!” several people echoed. Lee passed Harry the egg, and Harry dug his fingernails into the groove that ran all the way around it and prised it open. It was hollow and completely empty— but the moment Harry opened it, the most horrible noise, a loud and screechy wailing, filled the room. The nearest thing to it Harry had ever heard was the ghost orchestra at Nearly Headless Nick’s deathday party, who had all been playing the musical saw.“Shut it!” Fred bellowed, his hands over his ears.“What was that?” said Seamus Finnigan, staring at the egg as Harry slammed it shut again.“Sounded like a banshee.… Maybe you’ve got to get past one of those next, Harry!”“It was someone being tortured!” said Neville, who had gone very white and spilled sausage rolls all over the floor.“You’re going to have to fight the Cruciatus Curse!”“Don’t be a prat, Neville, that’s illegal,” said George.“They wouldn’t use the Cruciatus Curse on the champions. I thought it sounded a bit like Percy singing… maybe you’ve got to attack him while he’s in the shower, Harry.”“Want a jam tart, Hermione?” said Fred. Hermione looked doubtfully at the plate he was offering her. Fred grinned.“It’s all right,” he said.“I haven’t done anything to them. It’s the custard creams you’ve got to watch—",Seamus
“Very interesting dinner— I mean lesson— what’s for eating?”,71902,71916,True,349:Neville.M,"“Not the ruddy library again?” said Ron.“No,” said Hermione curtly, pointing up a side passage.“Neville.” Neville was standing alone, halfway up the passage, staring at the stone wall opposite him with the same horrified, wide- eyed look he had worn when Moody had demonstrated the Cruciatus Curse.“Neville?” Hermione said gently. Neville looked around.“Oh hello,” he said, his voice much higher than usual.“Interesting lesson, wasn’t it? I wonder what’s for dinner, I’m— I’m starving, aren’t you?”“Neville, are you all right?” said Hermione.“Oh yes, I’m fine,” Neville gabbled in the same unnaturally high voice.“Very interesting dinner— I mean lesson— what’s for eating?” Ron gave Harry a startled look.“Neville, what—?” But an odd clunking noise sounded behind them, and they turned to see Professor Moody limping toward them. All four of them fell silent, watching him apprehensively, but when he spoke, it was in a much lower and gentler growl than they had yet heard.“It’s all right, sonny,” he said to Neville.“Why don’t you come up to my office? Come on… we can have a cup of tea.…” Neville looked even more frightened at the prospect of tea with Moody. He neither moved nor spoke. Moody turned his magical eye upon Harry.“You all right, are you, Potter?”“Yes,” said Harry, almost defiantly",Neville
"“I ain’t done nothing,",59983,59997,True,229:Bubbles.?,"it up to the moon as it swept down on the dark horizon. When the light of the moon touched the stone it grew luminous. At that very same moment, the harp could be heard as the guild began their evening practice. No one else noticed, of course, but for one fraction of a second the stone blade shimmered in a swirl of flickering light and sound. Eglantine began to shake uncontrollably.“The Place! The Place!” Eglantine screamed. Something started in a dim way to make sense to Soren. He put a talon on his sister’s shoulder and spun her around to face him.“Eglantine,” he said softly. His sister blinked.“Soren? Oh, Soren!” she cried as he swept her under his wings.“I ain’t done nothing, Mags, I swear. Nothing.” Bubbles was crying and sputtering in near hysterics.“I just held up this here piece of glass we got from that castle over in Am- bala and she done gone yoicks.”“Take me to the music, Soren. Take me to the music. Take us all to the music,” Eglantine cried. CHAPTER TWENTY- FIVE In the Folds of the Night Soren perched on a slender branch next to Eglantine. He draped one wing over her shoulders. It seemed like a miracle. His sister was back— really back. And now she said they must listen to the harp music. If she had told him to hang upside down and be mobbed by crows, he would have. He had never been happier in his life. The other owlets that had been",Bubbles
"firs,",36762,36831,True,205:Elvan.?,"as Glaux knows what.”“Yes,” continued Elvan.“We don’t want to disappoint Bubo.”“Oh, Glaux forbid that we should disappoint Bubo,” Otulissa mumbled. Soren stole a glance at her. There was pure venom in her eyes. Why couldn’t she just be angry about being in this chaw? What did Bubo have to do with it? Soren thought. He knew why, of course. Otulissa thought she was too good to have anything to do with Bubo. Neither Bubo nor any of the owls in this chaw had the distinguished background of Otulissa. It was an outrage, as she told Soren forty times a night, that she had not been included in Strix Struma’s navigation chaw. Elvan continued speaking during their break.“And then, of course, after you have had enough nights of weather training we shall find a nice forest fire for you— nothing too big, mind you. Just a nice little beginning fire with a good mix of trees— Ga’Hooles, firs, pine, some soft and hard woods. Not too many ridges or mountains to complicate wind patterns.”“Pardon me,” piped up the little Northern Saw- whet Owl, Martin, who had been rescued the same night as Primrose.“Yes, Martin,” Elvan said.“Well, I don’t understand why we need new coals all the time. Once you start a fire going, wouldn’t there always be new coals?” This was some smart little owl, Soren thought. Why hadn’t the others thought of this question? Why were new coals from a new fire needed? Elvan turned to Bubo.“Bubo, as chief smith, would you care to answer that?”“Sure thing, mate.” Then he stepped up to Martin and, towering over him, began to speak.“A very good question. You are right",Elvan
"“Hiya,",57590,57595,True,361:Colin.M,"white and semitransparent, Nick was dressed tonight in his usual doublet, but with a particularly large ruff, which served the dual purpose of looking extra- festive, and insuring that his head didn’t wobble too much on his partially severed neck.“Good evening,” he said, beaming at them.“Says who?” said Harry, taking off his sneakers and emptying them of water.“Hope they hurry up with the Sorting. I’m starving.” The Sorting of the new students into Houses took place at the start of every school year, but by an unlucky combination of circumstances, Harry hadn’t been present at one since his own. He was quite looking forward to it. Just then, a highly excited, breathless voice called down the table.“Hiya, Harry!” It was Colin Creevey, a third year to whom Harry was something of a hero.“Hi, Colin,” said Harry warily.“Harry, guess what? Guess what, Harry? My brother’s starting! My brother Dennis!”“Er— good,” said Harry.“He’s really excited!” said Colin, practically bouncing up and down in his seat.“I just hope he’s in Gryffindor! Keep your fingers crossed, eh, Harry?”“Er— yeah, all right,” said Harry. He turned back to Hermione, Ron, and Nearly Headless Nick.“Brothers and sisters usually go in the same Houses, don’t they?” he said. He was judging by the Weasleys, all seven of whom",Colin
sir!,163358,163377,True,1327:the elf.F,"minutes?” He looked down at his watch. Dobby was right. It was twenty past nine. A large, dead weight seemed to fall through Harry’s chest into his stomach.“Hurry, Harry Potter!” squeaked Dobby, plucking at Harry’s sleeve.“You is supposed to be down by the lake with the other champions, sir!”“It’s too late, Dobby,” Harry said hopelessly.“I’m not doing the task, I don’t know how—”“Harry Potter will do the task!” squeaked the elf.“Dobby knew Harry had not found the right book, so Dobby did it for him!”“What?” said Harry.“But you don’t know what the second task is—”“Dobby knows, sir! Harry Potter has to go into the lake and find his Wheezy—”“Find my what?”“— and take his Wheezy back from the merpeople!”“What’s a Wheezy?”“Your Wheezy, sir, your Wheezy— Wheezy who is giving Dobby his sweater!” Dobby plucked at the shrunken maroon sweater he was now wearing over his shorts.“What?” Harry gasped.“They’ve got… they’ve got Ron?”“The thing Harry Potter will miss most, sir!” squeaked Dobby.“‘ But past an hour—’”“—‘ the prospect’s black,’” Harry recited, staring, horror- struck, at the elf.“‘ Too late, it’s gone, it won’t come back.’ Dobby— what’ve I got to do?”“",the elf
at least it’s a Gryffindor—”,93587,93603,True,435:Angelina.F,"the password,” said the Fat Lady soothingly, and she swung forward on her hinges to let Harry into the common room. The blast of noise that met Harry’s ears when the portrait opened almost knocked him backward. Next thing he knew, he was being wrenched inside the common room by about a dozen pairs of hands, and was facing the whole of Gryffindor House, all of whom were screaming, applauding, and whistling.“You should’ve told us you’d entered!” bellowed Fred; he looked half annoyed, half deeply impressed.“How did you do it without getting a beard? Brilliant!” roared George.“I didn’t,” Harry said.“I don’t know how—” But Angelina had now swooped down upon him;“Oh if it couldn’t be me, at least it’s a Gryffindor—”“You’ll be able to pay back Diggory for that last Quidditch match, Harry!” shrieked Katie Bell, another of the Gryffindor Chasers.“We’ve got food, Harry, come and have some—”“I’m not hungry, I had enough at the feast—” But nobody wanted to hear that he wasn’t hungry; nobody wanted to hear that he hadn’t put his name in the goblet; not one single person seemed to have noticed that he wasn’t at all in the mood to celebrate.… Lee Jordan had unearthed a Gryffindor banner from somewhere, and he insisted on draping it around Harry like a cloak. Harry couldn’t get away; whenever he tried to sidle over to the staircase up to the dormitories, the crowd around him closed",Angelina
"Now,",43201,43255,True,219:Poot.?,"the young owls in the weather chaw seemed to have diminished in size. Their feathers were pulled, in tightly indications that the owls were very nervous about their first weather flight. When relaxed, an owl’s plumage is loose and fluffy. When angered, owls can puff up their feathers until they appear much, much larger. But now it was as if they had all become suddenly slim. The tension hovered in the air. Ezylryb fixed the young owls in the amber light of his squinted eye.“Eat up, maties… every single little hair. You’ve forgotten what raw meat tastes like with the fur, as you call it. Poot here is my first mate. He’ll tell you what it’s like to fly with no ballast in your gizzard.”“I remember that time before I had acquired the taste for hair and thought I could go through that hurricane. Last time I ever tried that. Nearly got caught in the rim of the eye, I did. Now, you don’t want to do that, young’uns.” Poot was a Boreal Owl like Soren and Gylfie’s old friend Grimble.“What happens if you get caught in the rim of the eye of a hurricane?” asked Rudy.“Oh, you spin around till you’re dead. Just around and around and around. Awful nasty way to go. Usually get your wings torn off in the process,” said Poot.“Now, don’t go scaring them, Poot,” Octavia said and gave a ripple so that all their plates clattered a bit.“And please, young’uns, don’t try that trick of slipping the fur under the table. Remember, I am the table and it itches something fierce.” It was not even dark yet, but the weather chaw owls were already on the takeoff limb",Poot
"“That’s my beak,",14145,14181,True,536:the creature.?,"“What other kingdoms are there?” Twilight said.“Plant kingdom— I heard my father speak of the plant kingdom,” Gylfie said.“They do look kind of planty. Don’t they?” said Digger.“What do you mean? Planty?” asked Soren.“I know what Digger’s talking about. That bright orange thing growing from the middle of its, I guess, face?”“What do you mean— you guess, face?” the creature hollered.“I mean, we’re pretty dumb, but you must be dumber if you can’t tell a face from a plant.”“Well, you look a bit like a cactus in bloom— the kind we have in the desert,” Digger said.“That’s my beak, idiot. I can assure you that neither I nor anyone in my family is a cactus in bloom— whatever a cactus is and whatever a desert is.”“Well, what are you?” Mrs. Plithiver finally spoke up.“Well, what in the name of ice are you?” the creature retorted.“I’m a snake… a nest- maid snake. I serve these most noble of birds, owls.”“Well,” said the creature who was not a cactus,“we’re just a bunch of puffins.”“Puffins!” Twilight hooted.“Puffins are northern birds, far northern birds.”“Duh!” said one of the little ones.“Gee, Pop, I’m feeling smarter all the time.”“But if you’re puffins,” Gylfie continued,“we must be in the North.”“Ta- da!” said one of the",the creature
are you?”,205804,205827,True,239:Amos Diggory.?,"got back to the dormitory at four in the morning—”“What were you doing out of your dormitory at four in the morning?” said Bill, surveying his mother with amazement. Mrs. Weasley grinned, her eyes twinkling.“Your father and I had been for a nighttime stroll,” she said.“He got caught by Apollyon Pringle— he was the caretaker in those days— your father’s still got the marks.”“Fancy giving us a tour, Harry?” said Bill.“Yeah, okay,” said Harry, and they made their way back toward the door into the Great Hall. As they passed Amos Diggory, he looked around.“There you are, are you?” he said, looking Harry up and down.“Bet you’re not feeling quite as full of yourself now Cedric’s caught you up on points, are you?”“What?” said Harry.“Ignore him,” said Cedric in a low voice to Harry, frowning after his father.“He’s been angry ever since Rita Skeeter’s article about the Triwizard Tournament— you know, when she made out you were the only Hogwarts champion.”“Didn’t bother to correct her, though, did he?” said Amos Diggory, loudly enough for Harry to hear as he started to walk out of the door with Mrs. Weasley and Bill.“Still… you’ll show him, Ced. Beaten him once before, haven’t you?”“Rita Skeeter goes out of her way to cause trouble, Amos!” Mrs. Weasley said angrily.“I would have thought you’d know that, working at the Ministry",Amos Diggory
"“Harry Potter,",124341,124350,True,3094:the squealing elf.?,"them all, and I found— oh come on, Harry, I want to show you!” She seized his arm again, pulled him in front of the picture of the giant fruit bowl, stretched out her forefinger, and tickled the huge green pear. It began to squirm, chuckling, and suddenly turned into a large green door handle. Hermione seized it, pulled the door open, and pushed Harry hard in the back, forcing him inside. He had one brief glimpse of an enormous, high- ceilinged room, large as the Great Hall above it, with mounds of glittering brass pots and pans heaped around the stone walls, and a great brick fireplace at the other end, when something small hurtled toward him from the middle of the room, squealing,“Harry Potter, sir! Harry Potter!” Next second all the wind had been knocked out of him as the squealing elf hit him hard in the midriff, hugging him so tightly he thought his ribs would break.“D- Dobby?” Harry gasped.“It is Dobby, sir, it is!” squealed the voice from somewhere around his navel.“Dobby has been hoping and hoping to see Harry Potter, sir, and Harry Potter has come to see him, sir!” Dobby let go and stepped back a few paces, beaming up at Harry, his enormous, green, tennis- ball- shaped eyes brimming with tears of happiness. He looked almost exactly as Harry remembered him; the pencil- shaped nose, the batlike ears, the long fingers and feet— all except the clothes,",the squealing elf
"yes,”",3449,3454,True,325:the female.F,"one of the worms that had begun to crawl off Digger’s wing.“She had everything to do with it!” Soren bristled up and suddenly seemed almost as big as the Masked Owls.“If it hadn’t been for Mrs. P., I would have been dive- bombed from the rear and poor Digger would have never made it back.” The Masked Owls blinked.“Well, well.” The large female chuffed and stepped nervously from one talon to another.“We just aren’t used to such aggressive behavior from our nest- maids. Ours are rather meek, I guess, compared to this… What do you call her?”“Her name is Mrs. Plithiver,” Soren said slowly and distinctly with the contempt in his voice poorly concealed.“Yes, yes,” the female replied nervously.“Well, we discourage our nest- maids from socially mingling with us at any time, really.”“That was hardly a party, what happened up there in the sky, ma’am,” Twilight said hotly.“Well, now tell me, young’uns,” said the male as if he was desperately trying to change the subject.“Where are you heading? What are your plans?”“We’re going to Hoolemere and the Great Ga’Hoole Tree,” Soren said.“Oh, how interesting,” the female replied in a voice that had a sneer embedded in it.“Oh, Mummy,” said the young owlet.“That’s the place I was telling you about. Can’t we go?”“",the female
It’s just that it has been said that the Great Ga’Hoole Tree is invisible.,5212,5283,True,142:Swatums.?,"own boring way, discussing the Great Ga’Hoole Tree. Sweetums was questioning her mate.“Well, what do you mean, Swatums, by‘ not exactly.’ Isn’t it either a legend or not? I mean, it’s not really real.”“Well, Sweetums, some say it’s simply invisible.”“What’s simple about being invisible?” Gylfie asked.“Ohh, hooo- hooo.” The two Sooty Owls were convulsed in laughter.“Doesn’t she remind you of Tibby, Swa- tums?” Then there was more cooing and giggling and disgusting preening. Soren felt that Gylfie’s question was a perfectly sensible one. What, indeed, was simple about in- visibleness?“Well, young’uns,” Swatums answered,“there is nothing simple. It’s just that it has been said that the Great Ga’Hoole Tree is invisible. That it grows on the island in the middle of a vast sea, a sea called Hoolemere that is nearly as wide as an ocean. A sea that is always wrapped in fog, an island feathered in blizzards, and a tree veiled in mist.”“So,” said Twilight,“it’s not really invisible, it’s just bad weather.”“Not exactly,” replied Swatums. Twilight cocked his head.“It seems that for some the fog lifts, the blizzards stop, and the mist blows away.”“For some?” asked Gylfie.“For those who believe.” Swatums paused and then sniffed in disdain.“But do they say what? Believe in what? No. You see, that is the problem. Owls with fancy ideas— ridiculous! That’s how you get into trouble. Sweetums and I don’t believe in fancy ideas. Fancy ideas don’t keep the belly full and the gizzard grinding. Sugar gliders, plump rats, voles— that’s what counts.",Swatums
"sir— and you,",32130,32143,True,1327:the elf.F,"me Dobby?” squeaked the elf curiously from between its fingers. Its voice was higher even than Dobby’s had been, a teeny, quivering squeak of a voice, and Harry suspected— though it was very hard to tell with a house- elf— that this one might just be female. Ron and Hermione spun around in their seats to look. Though they had heard a lot about Dobby from Harry, they had never actually met him. Even Mr. Weasley looked around in interest.“Sorry,” Harry told the elf,“I just thought you were someone I knew.”“But I knows Dobby too, sir!” squeaked the elf. She was shielding her face, as though blinded by light, though the Top Box was not brightly lit.“My name is Winky, sir— and you, sir—” Her dark brown eyes widened to the size of side plates as they rested upon Harry’s scar.“You is surely Harry Potter!”“Yeah, I am,” said Harry.“But Dobby talks of you all the time, sir!” she said, lowering her hands very slightly and looking awestruck.“How is he?” said Harry.“How’s freedom suiting him?”“Ah, sir,” said Winky, shaking her head,“ah sir, meaning no disrespect, sir, but I is not sure you did Dobby a favor, sir, when you is setting him free.”“Why?” said Harry, taken aback.“What’s wrong with him?”“Freedom is going to Dobby’s head,",the elf
“Muggles.”,2831,2834,True,175:Frank.M,"a word at all.“The— the Quidditch World Cup, My Lord?” said Wormtail.(Frank dug his finger still more vigorously into his ear.)“Forgive me, but— I do not understand— why should we wait until the World Cup is over?”“Because, fool, at this very moment wizards are pouring into the country from all over the world, and every meddler from the Ministry of Magic will be on duty, on the watch for signs of unusual activity, checking and double- checking identities. They will be obsessed with security, lest the Muggles notice anything. So we wait.” Frank stopped trying to clear out his ear. He had distinctly heard the words“Ministry of Magic,”“wizards,” and“Muggles.” Plainly, each of these expressions meant something secret, and Frank could think of only two sorts of people who would speak in code: spies and criminals. Frank tightened his hold on his walking stick once more, and listened more closely still.“Your Lordship is still determined, then?” Wormtail said quietly.“Certainly I am determined, Wormtail.” There was a note of menace in the cold voice now. A slight pause followed— and then Wormtail spoke, the words tumbling from him in a rush, as though he was forcing himself to say this before he lost his nerve.“It could be done without Harry Potter, My Lord.” Another pause, more protracted, and then—“Without Harry Potter?” breathed the second voice softly.",Frank
sir!”,32095,32104,True,1327:the elf.F,"however, unmistakably a house- elf, as Harry’s friend Dobby had been. Harry had set Dobby free from his old owners, the Malfoy family.“Did sir just call me Dobby?” squeaked the elf curiously from between its fingers. Its voice was higher even than Dobby’s had been, a teeny, quivering squeak of a voice, and Harry suspected— though it was very hard to tell with a house- elf— that this one might just be female. Ron and Hermione spun around in their seats to look. Though they had heard a lot about Dobby from Harry, they had never actually met him. Even Mr. Weasley looked around in interest.“Sorry,” Harry told the elf,“I just thought you were someone I knew.”“But I knows Dobby too, sir!” squeaked the elf. She was shielding her face, as though blinded by light, though the Top Box was not brightly lit.“My name is Winky, sir— and you, sir—” Her dark brown eyes widened to the size of side plates as they rested upon Harry’s scar.“You is surely Harry Potter!”“Yeah, I am,” said Harry.“But Dobby talks of you all the time, sir!” she said, lowering her hands very slightly and looking awestruck.“How is he?” said Harry.“How’s freedom suiting him?”“Ah, sir,” said Winky, shaking her head,“ah sir, meaning no disrespect, sir, but I is not sure you did Dobby a",the elf
